amfi_code,cagr_pct,sharpe_ratio,alpha,beta,max_drawdown,score
100016,2.6352458116335464,-0.20151706755966936,0.03747580763443282,-0.05826843143880895,-0.24734440880673303,20.90032154340836
100025,4.455091155784441,-0.5670947928476846,0.042817920315060876,0.0011582183155281454,-0.04308263824636349,9.646302250803858
100033,30.099703552874523,1.093698743534631,0.2719535450128533,0.005103525830528331,-0.16217208574644848,89.06752411575563
101206,23.520488754230385,1.0272133278753695,0.21399784776051212,0.021086316250128002,-0.11291596329323073,75.2411575562701
101207,7.933120999915699,0.16266076928646772,0.10897091901704538,-0.06528924788351527,-0.3544691649336603,45.17684887459807
101208,6.504429821332125,-0.8155673679088263,0.060861457957871144,0.0002667096833823833,-0.0016224980244717857,15.594855305466238
102885,18.218826089343754,0.8170993373494367,0.17048756803412696,-0.019486785689474546,-0.1085986215250232,58.68167202572347
102886,1.17093879842316,-0.20583160785470309,0.028969397866379445,-0.042125029021894314,-0.2800112356639287,16.881028938906752
102887,16.828673461948984,0.6195175900829828,0.16211256794033255,0.016682689437770855,-0.21539827112383225,58.038585209003216
118632,24.03119561352478,1.0816591793457042,0.21829397904608644,-0.00835383212696199,-0.17414075086657232,82.15434083601286
118633,16.262218000296524,0.6452074382933215,0.15643835948169668,-0.036639006718609354,-0.18629743138595511,54.983922829581985
118634,16.36139647659338,0.44843400890899127,0.1750072167561127,0.10349663691337586,-0.2334488614483311,56.430868167202576
118635,15.94548118508252,0.664856998549062,0.1513635464823924,-0.0014335213897801022,-0.1165062450540909,49.839228295819936
118636,5.313155402760827,-0.35662950751436784,0.05074772999976104,0.0012566742731558612,-0.08316361763638702,13.987138263665594
119092,6.363494757718979,0.03078485095458594,0.0689952982167755,0.009730745001153628,-0.1440161790933726,27.652733118971064
119093,7.891944369437343,0.12961449795669328,0.08232801295222093,0.02588321244009314,-0.21751396370148224,40.51446945337621
119094,28.192608222062464,0.9982309868636413,0.2607666908004223,-0.06626542862803761,-0.20960883862039192,84.56591639871382
119095,1.5204552427132478,-0.0759735711747892,0.048015953637759554,-0.06695117463929204,-0.5167775370852656,23.47266881028939
119120,5.885271270380055,-0.22657538662791576,0.05620895216638369,-0.006413850728276463,-0.04328728923970093,16.077170418006432
119551,25.784920849464086,1.2082665673727175,0.23201007160635082,-0.03175144113890976,-0.1501238549864533,85.04823151125403
119552,21.50802178549933,0.9532794968660104,0.1986859936686296,-0.02615930751351343,-0.11803493502764295,68.64951768488746
119598,32.398083984645545,0.9453082575156095,0.3033696538698332,-0.0231960620440597,-0.2870600572176455,96.62379421221866
119599,2.053064146209893,-0.05718662582817995,0.048824215945539845,0.06200180438267165,-0.5257422117012851,26.20578778135048
120503,18.771330105513616,0.7979728586052847,0.17703302365844073,-0.040268952369820595,-0.13897862823061635,62.37942122186495
120504,23.277447532730513,1.0265242847993001,0.2119482701352573,0.016232169761416993,-0.12588275606922517,73.79421221864952
120505,32.801599480386166,1.1801011976606492,0.2926358334175106,0.0005490042506317005,-0.18188513572116294,100.0
120506,17.072227512921923,0.6488787755249532,0.1625385327998104,0.041896462728119754,-0.1982565826298267,60.28938906752411
120507,7.232410932344591,0.4957233929533123,0.06746210411099539,-0.0004440926329707225,-0.0009773140045925555,32.79742765273312
120841,13.522349085511554,0.4942725378672349,0.13042924450705445,0.036356399022199816,-0.1757361416468729,48.07073954983923
120842,6.696806255006482,0.07599984804658923,0.0780443887615508,0.018056874208118145,-0.24003511326274884,36.81672025723473
120843,30.883325525154603,1.3067439695428409,0.27330465038306057,-0.022829569792426566,-0.1297396816518679,92.44372990353698
120844,6.91037983940288,-0.08874729621557288,0.06455677495375998,-0.00040074423947840073,-0.0011629327956168556,22.668810289389068
125497,19.003613208378557,0.7757902498211205,0.17729754927531766,0.0488204042595774,-0.15200013055606398,64.46945337620579
125498,11.293660210400969,0.30061192104254786,0.11989100971217971,0.009054412621739153,-0.21117279560132118,44.69453376205787
148567,30.949920362874206,1.4482911703262598,0.2698375144191807,0.023683558075848626,-0.11265729075028275,91.31832797427653
148568,22.499840384352243,0.9262873467360144,0.20873010086942337,-0.02638771994384303,-0.1527259422823477,70.41800643086816
148569,31.924485848158724,1.2349300257743294,0.2827036785246582,0.018133884083859218,-0.1639674294693263,96.78456591639872
149322,13.383520958789363,0.46403744922047774,0.13173190226099432,-0.004050271130006519,-0.14844576917771746,44.37299035369775
149323,29.558105232568344,1.1321218524747243,0.26598577542043045,-0.0025230046646992563,-0.17248105753451382,88.2636655948553
149324,32.262107528416564,0.9497958246616031,0.3005787817097677,0.011455159960520721,-0.31171900300634214,96.14147909967846
